,general,expert
156,net,"{'Error Handling,0.53', 'Big Data,0.57', 'Big Data,0.56', 'Software Development and IT Operations,0.66', 'Big Data,0.62', 'Data Structure,0.61', 'Software Development and IT Operations,0.64', 'Error Handling,0.68', 'Data Structure,0.66', 'Big Data,0.5', 'Big Data,0.53', 'Big Data,0.54', 'Big Data,0.45', 'Big Data,0.55', 'Machine Learning,0.46', 'Big Data,0.49', 'Network,0.47', 'Big Data,0.46', 'Error Handling,0.49', 'Big Data,0.61', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'Big Data,0.58', 'Software Development and IT Operations,0.61', 'User Interface,0.56', 'User Interface,0.64', 'User Interface,0.55', 'Software Development and IT Operations,0.58', 'Natural Language Processing,0.5', 'Software Development and IT Operations,0.53', 'Error Handling,0.55', 'Big Data,0.47', 'Software Development and IT Operations,0.45', 'Software Development and IT Operations,0.42', 'User Interface,0.54', 'Software Development and IT Operations,0.7', 'Big Data,0.41', 'Data Structure,0.6', 'Software Development and IT Operations,0.55', 'Network,0.48', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.5', 'Big Data,0.52', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.69', 'Software Development and IT Operations,0.4', 'Big Data,0.42', 'Big Data,0.6', 'Software Development and IT Operations,0.56', 'Data Structure,0.58', 'Big Data,0.36', 'Big Data,0.43', 'Data Structure,0.59', 'Data Structure,0.53', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.62', 'Software Development and IT Operations,0.51'}"
157,ng in unknown format,"{'Big Data,0.53'}"
158,nio,"{'Error Handling,0.51', 'Big Data,0.56', 'Input and Output,0.55', 'Application,0.54', 'Data Structure,0.61', 'Parser,0.42', 'Data Structure,0.55', 'User Interface,0.59', 'Parser,0.55', 'Big Data,0.54', 'Application,0.56', 'Application,0.52', 'Parser,0.44', 'Parser,0.34', 'Parser,0.58', 'Database,0.47', 'Parser,0.33', 'Data Structure,0.49', 'Parser,0.5', 'Parser,0.53', 'Parser,0.38', 'Error Handling,0.63', 'Error Handling,0.67', 'Data Structure,0.62', 'Database,0.53', 'Database,0.61', 'Database,0.58', 'User Interface,0.55', 'Parser,0.43', 'Input and Output,0.61', 'Parser,0.37', 'Network,0.52', 'Network,0.54', 'Parser,0.47', 'Parser,0.57', 'Database,0.55', 'Parser,0.32', 'Event Handling,0.55', 'Parser,0.52', 'Database,0.5', 'Network,0.5', 'Data Structure,0.48', 'Database,0.6', 'Error Handling,0.52', 'Software Development and IT Operations,0.59', 'Input and Output,0.57', 'Big Data,0.63', 'User Interface,0.49', 'Input and Output,0.54', 'Data Structure,0.65', 'Input and Output,0.6', 'Error Handling,0.65', 'Application,0.57', 'Database,0.52', 'Error Handling,0.6', 'Input and Output,0.35', 'Parser,0.49', 'Error Handling,0.54', 'Big Data,0.29'}"
159,nt element to a high‐quality teacher‐student relationship,"{'Software Development and IT Operations,0.6'}"
160,nt here,"{'Multi Thread,0.37'}"
161,nt sense,"{'Logic,0.41'}"
162,nt to not call {@link #dispatch} while holding any locks,"{'Software Development and IT Operations,0.58'}"
163,oOpen 2,"{'Multi Thread,0.21'}"
164,objectweb,"{'Input and Output,0.28', 'Language,0.47', 'Language,0.49', 'Parser,0.42', 'Multi Thread,0.38', 'Parser,0.29', 'Big Data,0.38', 'Parser,0.33', 'Error Handling,0.32', 'Big Data,0.49', 'Parser,0.5', 'User Interface,0.66', 'Setup,0.32', 'Parser,0.43', 'Parser,0.37', 'Natural Language Processing,0.45', 'Data Structure,0.57', 'Parser,0.52', 'Natural Language Processing,0.38', 'Big Data,0.41', 'Input and Output,0.37', 'Error Handling,0.41', 'Data Structure,0.54', 'Error Handling,0.48', 'Big Data,0.67', 'Natural Language Processing,0.35', 'Language,0.4', 'Data Structure,0.46', 'Big Data,0.43', 'Error Handling,0.35', 'User Interface,0.52', 'Parser,0.35', 'Data Structure,0.56', 'Big Data,0.64', 'Error Handling,0.36'}"
165,objenesis,"{'Software Development and IT Operations,0.59', 'Natural Language Processing,0.32', 'Parser,0.36'}"
166,okhttp3,"{'Big Data,0.57', 'Big Data,0.44', 'Network,0.38', 'Event Handling,0.43', 'Natural Language Processing,0.52', 'Software Development and IT Operations,0.49', 'Input and Output,0.5', 'Database,0.61', 'Parser,0.27', 'User Interface,0.52', 'Search,0.43', 'Parser,0.54', 'Security,0.42', 'Setup,0.4', 'Application,0.51', 'Natural Language Processing,0.5', 'Test,0.44'}"
167,"on line "" + this","{'Software Development and IT Operations,0.56'}"
168,openjdk,"{'Security,0.27', 'Parser,0.36', 'Internationalization,0.29', 'Parser,0.46', 'Error Handling,0.32', 'Multi Thread,0.29', 'Parser,0.38', 'Parser,0.25', 'Utility,0.35', 'Big Data,0.34', 'Security,0.26', 'Test,0.26', 'Setup,0.53', 'Parser,0.31', 'Input and Output,0.4', 'Parser,0.37', 'Parser,0.32', 'Multi Thread,0.45', 'Cloud,0.29', 'Test,0.29', 'Parser,0.39', 'Error Handling,0.4', 'Parser,0.2', 'Parser,0.28', 'Parser,0.41', 'Database,0.28', 'Internationalization,0.32', 'Parser,0.27', 'Input and Output,0.7', 'Parser,0.24', 'Test,0.39', 'Error Handling,0.42'}"
169,opentest4j,"{'Error Handling,0.75'}"
170,operator,"{'Input and Output,0.67', 'Input and Output,0.59', 'Test,0.62', 'Software Development and IT Operations,0.74', 'Data Structure,0.69', 'Input and Output,0.58', 'Data Structure,0.45', 'Geographic Information System ,0.52', 'Input and Output,0.53', 'Test,0.7', 'Parser,0.48', 'Input and Output,0.34', 'Big Data,0.78', 'Input and Output,0.47', 'Error Handling,0.49', 'Software Development and IT Operations,0.68', 'Software Development and IT Operations,0.48', 'Big Data,0.58', 'User Interface,0.53', 'Input and Output,0.69', 'Software Development and IT Operations,0.46', 'Input and Output,0.73', 'Data Structure,0.57', 'User Interface,0.65', 'Software Development and IT Operations,0.7', 'Application Performance Manager,0.61', 'Software Development and IT Operations,0.71', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.69', 'User Interface,0.61', 'Input and Output,0.48', 'Input and Output,0.76', 'Data Structure,0.65', 'Big Data,0.6', 'Big Data,0.77', 'User Interface,0.46', 'Error Handling,0.56', 'Parser,0.56', 'Software Development and IT Operations,0.62', 'Error Handling,0.54', 'Software Development and IT Operations,0.51', 'Error Handling,0.53', 'Big Data,0.57', 'Software Development and IT Operations,0.66', 'Data Structure,0.77', 'Data Structure,0.55', 'Data Structure,0.67', 'Application Performance Manager,0.64', 'Data Structure,0.73', 'Input and Output,0.63', 'User Interface,0.57', 'Data Structure,0.49', 'Parser,0.69', 'Software Development and IT Operations,0.52', 'Software Development and IT Operations,0.61', 'Error Handling,0.47', 'Software Development and IT Operations,0.63', 'User Interface,0.56', 'Geographic Information System ,0.59', 'Input and Output,0.61', 'Data Structure,0.47', 'Big Data,0.71', 'Input and Output,0.64', 'Error Handling,0.62', 'Geographic Information System ,0.62', 'Input and Output,0.74', 'Data Structure,0.6', 'Software Development and IT Operations,0.55', 'Input and Output,0.62', 'Error Handling,0.52', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.5', 'Parser,0.6', 'Error Handling,0.76', 'User Interface,0.62', 'Error Handling,0.65', 'Parser,0.7', 'User Interface,0.67', 'Big Data,0.39', 'Test,0.61', 'Software Development and IT Operations,0.65', 'Input and Output,0.65', 'Parser,0.51', 'Data Structure,0.56', 'Data Structure,0.68', 'Data Structure,0.53', 'Input and Output,0.78', 'Big Data,0.56', 'Utility,0.43', 'Application Performance Manager,0.54', 'Input and Output,0.49', 'Data Structure,0.61', 'Parser,0.63', 'Software Development and IT Operations,0.64', 'Input and Output,0.55', 'Parser,0.55', 'Data Structure,0.66', 'Error Handling,0.44', 'Big Data,0.5', 'Big Data,0.54', 'Error Handling,0.32', 'Parser,0.61', 'Input and Output,0.39', 'Error Handling,0.63', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'Application Performance Manager,0.6', 'Application Performance Manager,0.74', 'Big Data,0.65', 'User Interface,0.64', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.53', 'Test,0.65', 'Input and Output,0.75', 'Data Structure,0.48', 'Data Structure,0.54', 'Application Performance Manager,0.59', 'Input and Output,0.56', 'Data Structure,0.7', 'Event Handling,0.58', 'Geographic Information System ,0.6', 'Input and Output,0.57', 'Input and Output,0.54', 'Geographic Information System ,0.58', 'Input and Output,0.6', 'Data Structure,0.44', 'Data Structure,0.46', 'Software Development and IT Operations,0.6', 'Application Performance Manager,0.56', 'Software Development and IT Operations,0.67', 'Big Data,0.62', 'Input and Output,0.51', 'Application Performance Manager,0.58', 'Test,0.68', 'Data Structure,0.63', 'Big Data,0.53', 'Parser,0.58', 'Parser,0.53', 'Data Structure,0.52', 'Application Performance Manager,0.48', 'Natural Language Processing,0.6', 'Data Structure,0.64', 'Input and Output,0.66', 'Application Performance Manager,0.52', 'Parser,0.73', 'Geographic Information System ,0.56', 'Event Handling,0.48', 'Data Structure,0.51', 'Data Structure,0.5', 'Software Development and IT Operations,0.49', 'Parser,0.67', 'Software Development and IT Operations,0.44', 'Application Performance Manager,0.62', 'Software Development and IT Operations,0.56', 'Data Structure,0.58', 'User Interface,0.52', 'Input and Output,0.46', 'Data Structure,0.59', 'Logging,0.64', 'Network,0.64', 'Big Data,0.64', 'Big Data,0.59'}"
171,oracle,"{'Database,0.48', 'Database,0.51', 'Database,0.72', 'Database,0.77', 'Database,0.75', 'Database,0.49'}"
172,orc,"{'Input and Output,0.59', 'Input and Output,0.67', 'Database,0.48', 'Input and Output,0.41', 'Language,0.51', 'Data Structure,0.45', 'Parser,0.36', 'Input and Output,0.53', 'Parser,0.48', 'Security,0.5', 'Parser,0.46', 'Parser,0.29', 'Input and Output,0.34', 'Data Structure,0.71', 'Input and Output,0.68', 'Big Data,0.32', 'Big Data,0.58', 'Database,0.58', 'User Interface,0.53', 'Input and Output,0.69', 'Input and Output,0.73', 'Input and Output,0.52', 'Parser,0.37', 'Parser,0.47', 'Parser,0.32', 'Database,0.55', 'Data Structure,0.57', 'Big Data,0.47', 'Test,0.48', 'Error Handling,0.4', 'Big Data,0.41', 'Parser,0.28', 'Input and Output,0.71', 'Natural Language Processing,0.52', 'Data Structure,0.65', 'Natural Language Processing,0.36', 'User Interface,0.43', 'Database,0.63', 'User Interface,0.46', 'Input and Output,0.7', 'Big Data,0.36', 'Big Data,0.4', 'Big Data,0.43', 'Natural Language Processing,0.54', 'Database,0.64', 'Multi Thread,0.35', 'Language,0.33', 'Big Data,0.57', 'Parser,0.42', 'Data Structure,0.55', 'Software Development and IT Operations,0.43', 'Parser,0.45', 'Input and Output,0.63', 'User Interface,0.57', 'Data Structure,0.49', 'Database,0.57', 'Big Data,0.44', 'Big Data,0.72', 'Software Development and IT Operations,0.52', 'Database,0.53', 'Software Development and IT Operations,0.61', 'Big Data,0.68', 'User Interface,0.56', 'Software Development and IT Operations,0.24', 'Natural Language Processing,0.49', 'User Interface,0.58', 'Input and Output,0.61', 'User Interface,0.37', 'Parser,0.57', 'Data Structure,0.47', 'Big Data,0.37', 'Test,0.55', 'Data Structure,0.4', 'Big Data,0.48', 'Data Structure,0.6', 'Geographic Information System ,0.34', 'Error Handling,0.52', 'Software Development and IT Operations,0.59', 'Big Data,0.51', 'User Interface,0.49', 'User Interface,0.62', 'Multi Thread,0.27', 'Input and Output,0.65', 'Data Structure,0.68', 'Data Structure,0.56', 'Parser,0.51', 'Data Structure,0.53', 'Parser,0.35', 'Setup,0.3', 'Error Handling,0.36', 'Database,0.54', 'Language,0.36', 'Big Data,0.56', 'Data Structure,0.61', 'Language,0.25', 'Language,0.49', 'Test,0.64', 'Error Handling,0.44', 'Data Structure,0.66', 'Big Data,0.5', 'Big Data,0.54', 'Big Data,0.45', 'User Interface,0.48', 'Parser,0.5', 'Big Data,0.46', 'Data Structure,0.62', 'Software Development and IT Operations,0.33', 'Big Data,0.65', 'Big Data,0.34', 'Language,0.44', 'Parser,0.43', 'Input and Output,0.4', 'Natural Language Processing,0.37', 'User Interface,0.54', 'User Interface,0.39', 'Big Data,0.33', 'Input and Output,0.75', 'Multi Thread,0.4', 'Data Structure,0.54', 'Data Structure,0.7', 'Multi Thread,0.39', 'Input and Output,0.57', 'Big Data,0.63', 'Data Structure,0.36', 'Setup,0.35', 'Data Structure,0.37', 'Data Structure,0.46', 'User Interface,0.47', 'Multi Thread,0.28', 'User Interface,0.7', 'Software Development and IT Operations,0.45', 'Big Data,0.29', 'Language,0.45', 'Error Handling,0.42', 'Language,0.47', 'Language,0.48', 'User Interface,0.4', 'Multi Thread,0.36', 'Data Structure,0.63', 'Big Data,0.53', 'Parser,0.54', 'Parser,0.34', 'Big Data,0.35', 'Natural Language Processing,0.4', 'Parser,0.58', 'Big Data,0.49', 'Parser,0.53', 'Data Structure,0.52', 'Security,0.4', 'Input and Output,0.72', 'Multi Thread,0.51', 'Database,0.61', 'Software Development and IT Operations,0.38', 'User Interface,0.42', 'Parser,0.31', 'Language,0.37', 'Natural Language Processing,0.45', 'Data Structure,0.64', 'Utility,0.3', 'Input and Output,0.66', 'Test,0.6', 'Parser,0.39', 'Parser,0.15', 'Security,0.36', 'Data Structure,0.51', 'Big Data,0.52', 'Data Structure,0.5', 'Big Data,0.42', 'Test,0.59', 'Big Data,0.66', 'Software Development and IT Operations,0.44', 'Data Structure,0.58', 'Software Development and IT Operations,0.41', 'User Interface,0.52', 'Data Structure,0.59', 'Parser,0.19', 'Big Data,0.64', 'Big Data,0.59', 'Setup,0.28'}"
173,"ormatsList + outFormatsList + ""\nPlease report issues at https:","{'Software Development and IT Operations,0.55'}"
174,osgi,"{'Internationalization,0.35', 'Internationalization,0.44', 'Application,0.43', 'Parser,0.43', 'Application,0.44', 'Application,0.42'}"
175,osgitest,"{'Natural Language Processing,0.57'}"
176,parquet,"{'Input and Output,0.59', 'Internationalization,0.21', 'Input and Output,0.41', 'Language,0.54', 'Language,0.51', 'Input and Output,0.58', 'Natural Language Processing,0.55', 'Parser,0.36', 'Language,0.5', 'Input and Output,0.53', 'Language,0.55', 'Big Data,0.28', 'Parser,0.29', 'Data Structure,0.71', 'Data Structure,0.42', 'Big Data,0.61', 'Data Structure,0.3', 'Input and Output,0.68', 'Multi Thread,0.37', 'Utility,0.31', 'Utility,0.41', 'Parser,0.37', 'Parser,0.47', 'Data Structure,0.57', 'Natural Language Processing,0.27', 'Natural Language Processing,0.31', 'Multi Thread,0.32', 'Natural Language Processing,0.42', 'Multi Thread,0.25', 'Input and Output,0.71', 'Data Structure,0.65', 'Data Structure,0.33', 'Database,0.39', 'Natural Language Processing,0.36', 'Multi Thread,0.21', 'User Interface,0.6', 'Error Handling,0.56', 'Natural Language Processing,0.54', 'Multi Thread,0.35', 'Big Data,0.57', 'Machine Learning,0.41', 'Database,0.42', 'Data Structure,0.38', 'Data Structure,0.55', 'Data Structure,0.67', 'Input and Output,0.63', 'Internationalization,0.22', 'Data Structure,0.49', 'Parser,0.69', 'Parser,0.38', 'Input and Output,0.45', 'Software Development and IT Operations,0.63', 'Input and Output,0.61', 'Data Structure,0.47', 'Input and Output,0.64', 'Parser,0.4', 'Multi Thread,0.44', 'Multi Thread,0.31', 'Big Data,0.48', 'Test,0.36', 'Data Structure,0.6', 'Natural Language Processing,0.48', 'Input and Output,0.62', 'Software Development and IT Operations,0.59', 'Parser,0.22', 'User Interface,0.49', 'Interpreter,0.34', 'Multi Thread,0.48', 'Natural Language Processing,0.44', 'Multi Thread,0.33', 'Input and Output,0.65', 'Data Structure,0.56', 'Data Structure,0.53', 'Database,0.54', 'Big Data,0.56', 'Input and Output,0.55', 'Data Structure,0.61', 'Language,0.49', 'Natural Language Processing,0.51', 'Big Data,0.45', 'Parser,0.5', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'User Interface,0.5', 'Multi Thread,0.23', 'Software Development and IT Operations,0.58', 'Natural Language Processing,0.37', 'Natural Language Processing,0.47', 'Multi Thread,0.4', 'Data Structure,0.48', 'Data Structure,0.54', 'Parser,0.41', 'Data Structure,0.7', 'Input and Output,0.56', 'Language,0.35', 'Multi Thread,0.39', 'Input and Output,0.57', 'Natural Language Processing,0.34', 'Input and Output,0.54', 'Data Structure,0.36', 'Natural Language Processing,0.17', 'Input and Output,0.6', 'Data Structure,0.44', 'Utility,0.27', 'Data Structure,0.37', 'Data Structure,0.46', 'Error Handling,0.45', 'Software Development and IT Operations,0.45', 'Multi Thread,0.41', 'Data Structure,0.34', 'Language,0.47', 'Input and Output,0.5', 'Big Data,0.62', 'Natural Language Processing,0.46', 'User Interface,0.4', 'Input and Output,0.51', 'Utility,0.29', 'Natural Language Processing,0.24', 'Natural Language Processing,0.25', 'Data Structure,0.63', 'Natural Language Processing,0.4', 'Parser,0.53', 'Internationalization,0.26', 'Data Structure,0.52', 'Multi Thread,0.29', 'Multi Thread,0.18', 'User Interface,0.42', 'Input and Output,0.43', 'Data Structure,0.64', 'Parser,0.3', 'Data Structure,0.28', 'User Interface,0.51', 'Data Structure,0.29', 'Parser,0.39', 'Input and Output,0.37', 'Data Structure,0.51', 'Big Data,0.52', 'User Interface,0.32', 'Data Structure,0.5', 'Software Development and IT Operations,0.49', 'Data Structure,0.58', 'Data Structure,0.43', 'Input and Output,0.46', 'Data Structure,0.59', 'Parser,0.19', 'Data Structure,0.35'}"
177,password,"{'Database,0.53', 'Setup,0.42', 'User Interface,0.59', 'Software Development and IT Operations,0.61', 'User Interface,0.52', 'Setup,0.49', 'Database,0.33'}"
178,pcollections,"{'Data Structure,0.51', 'Geographic Information System ,0.41'}"
179,pdfbox,"{'Geographic Information System ,0.62', 'Big Data,0.32', 'Big Data,0.55', 'Language,0.49', 'Parser,0.44', 'Big Data,0.34', 'Database,0.5', 'Big Data,0.41', 'Error Handling,0.41', 'Multi Thread,0.3', 'Data Structure,0.6', 'Natural Language Processing,0.48', 'Search,0.43', 'Database,0.49', 'Search,0.38', 'Input and Output,0.36', 'Language,0.39', 'Big Data,0.38'}"
180,pinot,"{'Input and Output,0.42', 'Search,0.24', 'Database,0.48', 'Application Performance Manager,0.39', 'Input and Output,0.49', 'Data Structure,0.61', 'Input and Output,0.51', 'Search,0.19', 'Parser,0.55', 'Natural Language Processing,0.24', 'Search,0.44', 'Big Data,0.5', 'Big Data,0.53', 'Parser,0.54', 'Parser,0.19', 'Natural Language Processing,0.14', 'Big Data,0.28', 'Data Structure,0.26', 'Parser,0.53', 'Event Handling,0.3', 'Error Handling,0.67', 'Input and Output,0.47', 'Input and Output,0.45', 'Data Structure,0.52', 'Data Structure,0.62', 'Database,0.53', 'Error Handling,0.39', 'Big Data,0.15', 'Natural Language Processing,0.3', 'Error Handling,0.33', 'Error Handling,0.46', 'Input and Output,0.43', 'Parser,0.43', 'Input and Output,0.4', 'Natural Language Processing,0.45', 'Input and Output,0.44', 'Test,0.38', 'Database,0.44', 'Big Data,0.47', 'Database,0.55', 'Natural Language Processing,0.37', 'Search,0.51', 'Natural Language Processing,0.31', 'Parser,0.39', 'Database,0.5', 'Test,0.36', 'Natural Language Processing,0.42', 'Data Structure,0.72', 'Error Handling,0.41', 'Data Structure,0.51', 'Error Handling,0.38', 'Parser,0.2', 'Software Development and IT Operations,0.47', 'Data Structure,0.7', 'Natural Language Processing,0.35', 'Data Structure,0.5', 'Input and Output,0.22', 'Data Structure,0.36', 'Search,0.45', 'Input and Output,0.32', 'Parser,0.27', 'Parser,0.24', 'Big Data,0.4', 'Natural Language Processing,0.18', 'Big Data,0.24', 'Natural Language Processing,0.7', 'Test,0.39', 'Error Handling,0.42'}"
181,plugin,"{'Database,0.48', 'Software Development and IT Operations,0.74', 'Data Structure,0.45', 'Big Data,0.69', 'Parser,0.48', 'Geographic Information System ,0.46', 'Setup,0.57', 'Geographic Information System ,0.47', 'Setup,0.46', 'Database,0.58', 'User Interface,0.53', 'User Interface,0.76', 'Setup,0.47', 'Data Structure,0.57', 'Geographic Information System ,0.55', 'Database,0.51', 'Database,0.5', 'Database,0.45', 'User Interface,0.74', 'Software Development and IT Operations,0.69', 'Error Handling,0.56', 'Database,0.64', 'Error Handling,0.61', 'Software Development and IT Operations,0.66', 'Setup,0.51', 'User Interface,0.59', 'Data Structure,0.55', 'Parser,0.42', 'Data Structure,0.67', 'Parser,0.45', 'Data Structure,0.76', 'Big Data,0.72', 'Error Handling,0.59', 'Database,0.53', 'User Interface,0.56', 'Error Handling,0.66', 'User Interface,0.58', 'Database,0.44', 'Input and Output,0.64', 'Big Data,0.7', 'Big Data,0.48', 'User Interface,0.63', 'Data Structure,0.72', 'Multi Thread,0.53', 'Data Structure,0.6', 'User Interface,0.75', 'Parser,0.6', 'Geographic Information System ,0.49', 'User Interface,0.62', 'Error Handling,0.65', 'User Interface,0.67', 'Interpreter,0.53', 'Geographic Information System ,0.65', 'Parser,0.51', 'Data Structure,0.53', 'Software Development and IT Operations,0.73', 'Database,0.54', 'Software Development and IT Operations,0.64', 'Big Data,0.5', 'Error Handling,0.5', 'Database,0.59', 'Parser,0.5', 'Big Data,0.65', 'User Interface,0.64', 'Geographic Information System ,0.48', 'Error Handling,0.74', 'Data Structure,0.54', 'Big Data,0.67', 'Setup,0.58', 'Database,0.62', 'Application,0.62', 'Parser,0.49', 'Geographic Information System ,0.67', 'Data Structure,0.74', 'Data Structure,0.63', 'Big Data,0.53', 'Parser,0.54', 'User Interface,0.69', 'Parser,0.58', 'Parser,0.53', 'Data Structure,0.52', 'Setup,0.54', 'Setup,0.52', 'Setup,0.44', 'Data Structure,0.64', 'User Interface,0.51', 'Data Structure,0.51', 'Data Structure,0.58', 'User Interface,0.52', 'Data Structure,0.59'}"
182,plugins,"{'Parser,0.53', 'User Interface,0.54', 'Software Development and IT Operations,0.63', 'User Interface,0.5', 'User Interface,0.63', 'Setup,0.53', 'User Interface,0.45', 'User Interface,0.58', 'Software Development and IT Operations,0.58', 'Setup,0.57', 'User Interface,0.65'}"
183,postgresql,"{'Database,0.43', 'Database,0.47'}"
184,preferences,"{'Input and Output,0.48', 'Geographic Information System ,0.49', 'Geographic Information System ,0.51', 'Geographic Information System ,0.56', 'User Interface,0.54', 'Geographic Information System ,0.54', 'Search,0.57', 'Natural Language Processing,0.44', 'User Interface,0.63', 'User Interface,0.5', 'User Interface,0.56', 'User Interface,0.53', 'Geographic Information System ,0.5', 'Application,0.6', 'User Interface,0.55', 'User Interface,0.61', 'User Interface,0.48', 'Geographic Information System ,0.55'}"
185,proxy,"{'User Interface,0.52'}"
186,quality,"{'Error Handling,0.44', 'Software Development and IT Operations,0.59', 'Natural Language Processing,0.44'}"
187,r,"{'Input and Output,0.28', 'Language,0.2', 'Input and Output,0.65', 'Big Data,0.25', 'Data Structure,0.53', 'Interpreter,0.24'}"
188,r exists only to enable `--importToOpen someEntry,"{'Software Development and IT Operations,0.67'}"
189,r has thrown an IOException,"{'Software Development and IT Operations,0.56'}"
190,r is capable of importing NEP messages into JabRef,"{'Software Development and IT Operations,0.62'}"
191,r parses text format citations using the online API of FreeCite,"{'Data Structure,0.66'}"
192,raptor,"{'Database,0.48', 'Data Structure,0.69', 'Data Structure,0.45', 'Setup,0.62', 'Parser,0.48', 'Setup,0.57', 'Geographic Information System ,0.47', 'Setup,0.46', 'Multi Thread,0.46', 'Big Data,0.58', 'Error Handling,0.46', 'Software Development and IT Operations,0.48', 'Setup,0.32', 'Utility,0.41', 'Setup,0.47', 'Error Handling,0.55', 'Database,0.55', 'Data Structure,0.57', 'Big Data,0.47', 'Utility,0.49', 'Setup,0.27', 'Software Development and IT Operations,0.54', 'Setup,0.56', 'Setup,0.55', 'Application Performance Manager,0.65', 'Big Data,0.43', 'Setup,0.49', 'Parser,0.56', 'Database,0.56', 'Big Data,0.57', 'Error Handling,0.53', 'Database,0.42', 'Data Structure,0.38', 'Error Handling,0.28', 'Data Structure,0.55', 'Error Handling,0.57', 'Parser,0.42', 'Application Performance Manager,0.51', 'Data Structure,0.67', 'Application Performance Manager,0.64', 'Utility,0.38', 'Setup,0.61', 'Setup,0.36', 'Database,0.57', 'Big Data,0.44', 'Software Development and IT Operations,0.52', 'Database,0.53', 'Software Development and IT Operations,0.61', 'Setup,0.43', 'Database,0.29', 'Data Structure,0.47', 'Geographic Information System ,0.62', 'Utility,0.34', 'Big Data,0.7', 'Big Data,0.48', 'Data Structure,0.72', 'Data Structure,0.6', 'Database,0.6', 'Error Handling,0.52', 'Big Data,0.51', 'Setup,0.37', 'Software Development and IT Operations,0.65', 'Parser,0.51', 'Data Structure,0.56', 'Data Structure,0.53', 'Big Data,0.56', 'Data Structure,0.61', 'Database,0.78', 'Utility,0.39', 'Test,0.64', 'Data Structure,0.66', 'Error Handling,0.44', 'Big Data,0.5', 'Big Data,0.55', 'Multi Thread,0.49', 'Database,0.47', 'User Interface,0.48', 'Application Performance Manager,0.57', 'Data Structure,0.62', 'Big Data,0.65', 'Setup,0.39', 'Software Development and IT Operations,0.58', 'Application Performance Manager,0.59', 'Data Structure,0.54', 'Big Data,0.67', 'Setup,0.58', 'Big Data,0.63', 'Database,0.62', 'Setup,0.35', 'Application Performance Manager,0.69', 'Security,0.75', 'Software Development and IT Operations,0.67', 'Application Performance Manager,0.56', 'Error Handling,0.64', 'Big Data,0.62', 'Data Structure,0.63', 'Big Data,0.53', 'Parser,0.54', 'Big Data,0.49', 'Data Structure,0.52', 'Setup,0.54', 'Setup,0.41', 'Database,0.61', 'Setup,0.38', 'Data Structure,0.64', 'Setup,0.31', 'Big Data,0.52', 'Test,0.59', 'Data Structure,0.58', 'Data Structure,0.43', 'User Interface,0.52', 'Data Structure,0.59', 'Setup,0.34', 'Data Structure,0.75', 'Setup,0.4', 'Big Data,0.64', 'Big Data,0.59', 'Data Structure,0.35'}"
193,rcfile,"{'Input and Output,0.79', 'Error Handling,0.61', 'Input and Output,0.5', 'Data Structure,0.79', 'Parser,0.55', 'Error Handling,0.57', 'Big Data,0.69', ' ,0', 'Parser,0.48', 'Parser,0.46', 'Error Handling,0.5', 'Database,0.58', 'Error Handling,0.66', 'Setup,0.47', 'Input and Output,0.74', 'User Interface,0.54', 'Data Structure,0.72', 'Setup,0.22', 'Input and Output,0.56', 'Multi Thread,0.12', 'Software Development and IT Operations,0.4', 'Data Structure,0.5', 'User Interface,0.49', 'Data Structure,0.58', 'Multi Thread,0.21', 'Data Structure,0.59', 'Software Development and IT Operations,0.45'}"
194,re2j,"{'Data Structure,0.46', 'Big Data,0.5', 'Software Development and IT Operations,0.49', 'Big Data,0.38'}"
195,reactfx,"{'Setup,0.43', 'Setup,0.41', 'Utility,0.44'}"
196,reactivestreams,"{'User Interface,0.49', 'Network,0.36', 'Natural Language Processing,0.48', 'Network,0.48', 'Test,0.18', 'Software Development and IT Operations,0.34'}"
197,redis,"{'Input and Output,0.59', 'Input and Output,0.58', 'Parser,0.45', 'Parser,0.58', 'Error Handling,0.5', 'Setup,0.46', 'Multi Thread,0.46', 'Input and Output,0.43', 'Software Development and IT Operations,0.58', 'Database,0.3', 'Parser,0.39', 'User Interface,0.54', 'Database,0.34', 'Software Development and IT Operations,0.59', 'Input and Output,0.56', 'Input and Output,0.57', 'Database,0.39', 'User Interface,0.47', 'Multi Thread,0.42', 'Test,0.5'}"
198,reflections,"{'Cloud,0.27'}"
199,regions,"{'Geographic Information System ,0.53', 'Geographic Information System ,0.48', 'Geographic Information System ,0.49'}"
